,CanESM5,CESM2,CNRM-CM6-1,GISS-E2-1-G,MIROC6,MRI-ESM2-0
0,-3347595300.0,-1769455600.0,-2585083000.0,-6181384000.0,-1789646800.0,-3687661600.0
1,-1970408400.0,-953120800.0,-55725056.0,-7752861700.0,-1414334500.0,-2940258300.0
2,35305470.0,-109686780.0,-1804505100.0,-6683453400.0,-2172389400.0,-3840630800.0
3,384786430.0,252653570.0,-696940540.0,-4390785000.0,-1040648200.0,-1787281400.0
4,930427900.0,241864700.0,466152450.0,-1474664400.0,-188004350.0,266829820.0
5,483067900.0,-441880580.0,1054606340.0,762392600.0,517531650.0,704452600.0
6,57635840.0,-283607040.0,1603962900.0,2042007600.0,382146560.0,1889619000.0
7,1061796860.0,418254850.0,13051904.0,6186067000.0,1791330300.0,2720328700.0
8,416796670.0,811941900.0,84118530.0,8046478300.0,2708185000.0,3551529000.0
9,1948184600.0,1833041900.0,1920358400.0,9446211000.0,1205835800.0,3123065900.0
10,1676171300.0,3222995000.0,2043029500.0,9378034000.0,3758510000.0,4608809000.0
11,847647740.0,3869233200.0,2717518800.0,10859030000.0,2941841400.0,4308434000.0
12,1470660600.0,5228398600.0,1212273700.0,11247157000.0,4705736700.0,6317921300.0
13,1526306800.0,4274716700.0,290143230.0,10187652000.0,5722654700.0,7986846700.0
14,1388517400.0,5013644300.0,499148800.0,11377419000.0,4805222400.0,8702960000.0
15,1786632200.0,6694835000.0,2174335000.0,10966382000.0,5615571000.0,8114406400.0
16,955598850.0,6413916000.0,1209800700.0,11665862000.0,6281744400.0,7128118300.0
17,1357639700.0,6995188700.0,784767000.0,12529368000.0,6945652700.0,7668703000.0
18,1454370800.0,7159200000.0,2693774300.0,12549367000.0,7380883500.0,8508521500.0
19,1945730000.0,8069788700.0,3821769700.0,14164621000.0,8508342000.0,8199488500.0
20,1578559500.0,7723459600.0,3524920300.0,12599002000.0,8290354700.0,7887950000.0
21,1373904900.0,8568870000.0,4201694200.0,14308497000.0,8169336300.0,8890254000.0
22,2929500200.0,9033968000.0,5594862600.0,14656842000.0,9078741000.0,7405657000.0
23,2153785300.0,9411171000.0,4682929000.0,13990643000.0,8308955600.0,7442457600.0
24,3758616600.0,10828758000.0,5726113000.0,13107422000.0,9098578000.0,9711263000.0
25,3225613300.0,10260891000.0,4681274400.0,13923773000.0,8763628000.0,9243192000.0
26,4757218300.0,10902318000.0,6363257000.0,13844831000.0,8823613000.0,9534043000.0
27,5308450000.0,9643149000.0,7323027000.0,14438031000.0,8999780000.0,9336315000.0
28,4287074300.0,11274062000.0,7566808600.0,13196314000.0,9881434000.0,10827100000.0
29,5155372000.0,10605878000.0,8527790600.0,15029037000.0,9992282000.0,11123528000.0
30,5078607000.0,10912337000.0,8658073000.0,14298540000.0,9817104000.0,9786309000.0
31,5692668000.0,11914079000.0,7422937600.0,13836376000.0,10792558000.0,10886115000.0
32,4905454600.0,12522395000.0,7960598000.0,14821267000.0,10458995000.0,11962061000.0
33,6624724000.0,12667418000.0,10617879000.0,12737699000.0,10888839000.0,12034630000.0
34,5798128600.0,12351635000.0,9912245000.0,14629528000.0,10040946000.0,10426448000.0
35,5509634000.0,12487788000.0,8634953000.0,14800703000.0,11109564000.0,11713706000.0
36,5641368600.0,12556358000.0,10290086000.0,12959621000.0,9326266000.0,10770819000.0
37,5839385600.0,12664065000.0,9282814000.0,14766256000.0,11004396000.0,12238653000.0
38,3932949500.0,14552015000.0,9683242000.0,13827603000.0,11134227000.0,11943971000.0
39,5985150000.0,13639000000.0,10304092000.0,14943326000.0,10972962000.0,14183799000.0
40,6196011000.0,12784942000.0,11065475000.0,14222395000.0,10471920000.0,11904803000.0
41,6224416000.0,13505716000.0,10609968000.0,16157684000.0,11207743000.0,13384759000.0
42,8064591000.0,13968601000.0,10806066000.0,15518577000.0,11314365000.0,13548587000.0
43,7133257700.0,13986748000.0,10577891000.0,15602639000.0,11620273000.0,12538468000.0
44,6750758000.0,14720954000.0,10360670000.0,15636984000.0,11317147000.0,14029621000.0
45,7017385000.0,13597000000.0,11476789000.0,15908796000.0,11322757000.0,15173623000.0
46,5827930000.0,13887582000.0,11035234000.0,15056011000.0,10778296000.0,13502585000.0
47,7121116000.0,14552216000.0,12391396000.0,15316597000.0,11021384000.0,14694927000.0
48,7331956700.0,15296907000.0,10072662000.0,15332735000.0,10412346000.0,14971133000.0
49,6662230000.0,15683025000.0,11358000000.0,15400587000.0,12267041000.0,14411217000.0
50,7390954500.0,15801036000.0,12109396000.0,15648397000.0,12143938000.0,12398453000.0
51,7081757700.0,14967968000.0,10365943000.0,15048131000.0,11296893000.0,14083641000.0
