,CanESM5,CESM2,CNRM-CM6-1,GISS-E2-1-G,MIROC6,MRI-ESM2-0
0,14934225000.0,21244498000.0,17906570000.0,28793070000.0,18499320000.0,21105280000.0
1,13557038000.0,20428163000.0,15377211000.0,30364547000.0,18124007000.0,20357876000.0
2,11551324000.0,19584730000.0,17125991000.0,29295139000.0,18882062000.0,21258248000.0
3,11201843000.0,19222389000.0,16018427000.0,27002470000.0,17750321000.0,19204899000.0
4,10656202000.0,19233178000.0,14855334000.0,24086350000.0,16897677000.0,17150788000.0
5,11103562000.0,19916923000.0,14266880000.0,21849293000.0,16192141000.0,16713165000.0
6,11528994000.0,19758650000.0,13717523000.0,20569678000.0,16327526000.0,15527998000.0
7,10524833000.0,19056787000.0,15308434000.0,16425618000.0,14918343000.0,14697289000.0
8,11169833000.0,18663100000.0,15237368000.0,14565207000.0,14001488000.0,13866088000.0
9,9638445000.0,17642000000.0,13401128000.0,13165475000.0,15503837000.0,14294552000.0
10,9910458000.0,16252047000.0,13278457000.0,13233652000.0,12951163000.0,12808808000.0
11,10738982000.0,15605809000.0,12603967000.0,11752656000.0,13767832000.0,13109183000.0
12,10115969000.0,14246644000.0,14109213000.0,11364528000.0,12003936000.0,11099696000.0
13,10060323000.0,15200326000.0,15031343000.0,12424033000.0,10987018000.0,9430771000.0
14,10198112000.0,14461398000.0,14822338000.0,11234266000.0,11904451000.0,8714658000.0
15,9799997000.0,12780207000.0,13147151000.0,11645304000.0,11094102000.0,9303211000.0
16,10631031000.0,13061126000.0,14111686000.0,10945824000.0,10427929000.0,10289499000.0
17,10228990000.0,12479854000.0,14536719000.0,10082317000.0,9764020000.0,9748914000.0
18,10132259000.0,12315843000.0,12627712000.0,10062319000.0,9328790000.0,8909096000.0
19,9640900000.0,11405254000.0,11499717000.0,8447064000.0,8201331000.0,9218129000.0
20,10008070000.0,11751583000.0,11796566000.0,10012683000.0,8419318300.0,9529668000.0
21,10212725000.0,10906172000.0,11119792000.0,8303188500.0,8540336600.0,8527363000.0
22,8657129000.0,10441075000.0,9726624000.0,7954843000.0,7630932500.0,10011960000.0
23,9432844000.0,10063871000.0,10638557000.0,8621043000.0,8400717300.0,9975160000.0
24,7828013000.0,8646284000.0,9595374000.0,9504263000.0,7611095600.0,7706354700.0
25,8361016300.0,9214152000.0,10640212000.0,8687912000.0,7946045000.0,8174425000.0
