,CanESM5,CESM2,CNRM-CM6-1,GISS-E2-1-G,MIROC6,MRI-ESM2-0
0,13208722000.0,23631740000.0,16512582000.0,0.0,22100857000.0,22661728000.0
1,13603821000.0,24252422000.0,17084253000.0,0.0,22012359000.0,20830010000.0
2,13191053000.0,23511878000.0,17845570000.0,0.0,22899284000.0,19822045000.0
3,12887830000.0,24223820000.0,17923574000.0,0.0,22657325000.0,22078000000.0
4,13283143000.0,23598500000.0,18116065000.0,0.0,21132216000.0,21896382000.0
5,13918691000.0,22951518000.0,17369192000.0,0.0,20178424000.0,22176560000.0
6,13416178000.0,23599647000.0,17960178000.0,0.0,18465300000.0,22285558000.0
7,12596351000.0,22908905000.0,17567930000.0,0.0,19318874000.0,21953366000.0
8,12687605000.0,23555120000.0,17269217000.0,0.0,19321463000.0,22340958000.0
9,11904683000.0,23717388000.0,16349872000.0,0.0,19249414000.0,22852534000.0
10,13663972000.0,23401400000.0,17836448000.0,0.0,18942773000.0,23087751000.0
11,13999115000.0,23851035000.0,17035806000.0,0.0,18401140000.0,22661130000.0
12,12847047000.0,23575095000.0,18170112000.0,0.0,19708803000.0,23585340000.0
13,13540199000.0,23543613000.0,17635670000.0,0.0,19361835000.0,21428930000.0
14,12389453000.0,23020003000.0,17952004000.0,0.0,19340310000.0,22844619000.0
15,13897418000.0,24197585000.0,16504335000.0,0.0,19605721000.0,22639835000.0
16,12567208000.0,23329702000.0,17879947000.0,0.0,20914133000.0,23053425000.0
17,13144522000.0,23443024000.0,17180742000.0,0.0,19346452000.0,23514490000.0
18,11956409000.0,21940210000.0,16033097000.0,0.0,18975740000.0,21824082000.0
19,12891046000.0,22645563000.0,15204472000.0,0.0,18597940000.0,23092486000.0
20,11820744000.0,21120207000.0,17791260000.0,0.0,18165604000.0,22437493000.0
21,13435422000.0,22897550000.0,18839202000.0,0.0,17686330000.0,24121885000.0
22,12352110000.0,22420617000.0,17729536000.0,0.0,19201989000.0,23548795000.0
23,11456823000.0,22874937000.0,18448388000.0,0.0,18200904000.0,24751950000.0
24,11884654000.0,21794685000.0,18644790000.0,0.0,18266440000.0,25014040000.0
25,13302105000.0,21691980000.0,18239187000.0,0.0,18953480000.0,23346268000.0
26,14073471000.0,22823090000.0,19076254000.0,0.0,20551160000.0,23774560000.0
27,12831190000.0,23107273000.0,18903314000.0,0.0,20808452000.0,22654335000.0
28,13845671000.0,24216443000.0,17362549000.0,0.0,20324493000.0,22790361000.0
29,13416779000.0,24416387000.0,16365872000.0,0.0,21175770000.0,23946725000.0
